x	low	mean	high	median
0.05	0.09507261817903669	0.24966582633152626	0.41350746914223463	0.20975132279549097
0.15000000000000002	0.6978968265551522	0.952319510112915	1.2038654560940667	0.9465510836066329
0.25	2.1007593935439424	2.2903192042013742	2.4841323402959286	2.2783797419537217
0.35000000000000003	2.646186807592277	3.0929049879361834	3.5498332549629423	3.101811262347346
0.45	2.0191841684267553	2.244816887928591	2.4714994329675717	2.2365931488362945
0.55	0.7006772433214722	0.9025763199168306	1.094287554407104	0.9162420213356521
0.6500000000000001	0.09695418935572922	0.22238850963519072	0.35463618976338307	0.20014802093458264
0.75	0.005835647750554908	0.038819029447821375	0.07526634003506384	0.023573187879768327
0.8500000000000001	0.00015528389566537963	0.005448577176978289	0.010263271631899249	0.001503012240897399
0.95	1.8162509503508659e-06	0.0006610923730681018	0.0009214176687895728	5.25720160232068e-05
1.05	9.18502552193626e-09	7.205428582925315e-05	5.275788090428104e-05	9.78782182037571e-07
1.1500000000000001	1.9962769817845153e-11	7.246789232581466e-06	1.9288781346156756e-06	9.909040405415018e-09
1.25	1.9160195802569557e-14	6.862501661646663e-07	4.6080069414545315e-08	5.384399083763569e-11
1.35	7.807576699450887e-18	6.185750757930731e-08	6.899138832194864e-10	1.5243211038436335e-13
1.4500000000000002	1.4194318994977102e-21	5.298213197251895e-09	6.6387697148228e-12	2.319920311292037e-16
1.55	1.0763064534390828e-25	4.251332552915506e-10	4.2107367151975016e-14	1.8732538680575204e-19
1.6500000000000001	3.417361917115988e-30	3.1258393271021456e-11	1.6792056266965484e-16	8.068496232694464e-23
1.75	4.5691968116226807e-35	2.0565774528955428e-12	4.3214112830565195e-19	1.8178637208289296e-26
1.85	2.5170977399303557e-40	1.1860617417595363e-13	7.171449519111449e-22	2.2047613033840113e-30
1.9500000000000002	6.200995251716047e-46	5.9029863814978386e-15	7.670542563057842e-25	1.3755804564310615e-34
2.05	6.597551628082153e-52	2.5080101132088474e-16	5.1120858029618795e-28	4.676599364935564e-39
2.1500000000000004	3.0056858757434516e-58	9.031526762729287e-18	2.158645155056994e-31	8.540132086540303e-44
2.25	5.819555477933571e-65	2.743649617319597e-19	6.132040960198632e-35	8.227609725172564e-49
2.3500000000000005	4.819711198520519e-72	7.009301368778138e-21	1.0767776882923179e-38	4.053054764955666e-54
2.45	1.7062616840050643e-79	1.5026530840557158e-22	1.2436675679780741e-42	1.0656141229634877e-59
