x	low1	mean1	high1	low2	mean2	high2
2.500000000000000139e-02	3.691863246970925050e-02	2.196901275010710308e-01	4.126186955765014930e-01	5.444373128794669642e-02	3.139999777112876256e-01	5.872120332999691827e-01
7.500000000000001110e-02	8.340079314166430613e-02	2.580529585068837561e-01	4.325963614681119229e-01	1.296693301828958089e-01	3.721231281111299638e-01	6.049776038949459256e-01
1.250000000000000000e-01	1.478462727564094081e-01	3.072975423197029099e-01	4.608368502160261615e-01	2.434366096266943891e-01	4.485706768868847338e-01	6.419468955882706718e-01
1.750000000000000167e-01	2.160983656523002838e-01	3.623853863241812134e-01	5.064980069714637434e-01	3.649156589203677026e-01	5.384852304863476657e-01	7.119927366473940422e-01
2.250000000000000056e-01	2.569064754755341906e-01	4.108158327425222023e-01	5.706808473120590364e-01	4.268025684067325853e-01	6.259167658872663020e-01	8.275313256232174064e-01
2.750000000000000222e-01	2.619087347150805267e-01	4.359237807436298628e-01	6.260812768711356835e-01	4.333987017289659960e-01	6.856599843253903259e-01	9.431122302759777920e-01
3.250000000000000666e-01	2.417208332039075813e-01	4.254816436531269619e-01	6.270053966999442618e-01	4.045228613714356158e-01	6.945729256687168673e-01	1.002075741356746708e+00
3.750000000000000000e-01	2.107436939862709357e-01	3.795880635354809129e-01	5.600738010044534754e-01	3.601643585891736166e-01	6.462550023954889422e-01	9.419622348372999054e-01
4.250000000000000444e-01	1.697022562680943203e-01	3.109500256797214091e-01	4.569529424661594175e-01	3.093414332575195602e-01	5.564703032668669724e-01	8.151801682440474872e-01
4.749999999999999778e-01	1.239415741467654458e-01	2.371674114663368249e-01	3.506784955704222995e-01	2.515656484260488379e-01	4.541987718386974460e-01	6.519846081564294460e-01
5.250000000000000222e-01	7.600698917169994295e-02	1.718748507005342929e-01	2.648768259747690257e-01	1.875891488796701811e-01	3.667441180151467250e-01	5.409856592981489021e-01
5.750000000000000666e-01	3.844743410718060722e-02	1.210369657712839081e-01	1.983646255445923323e-01	1.343249063024277712e-01	3.109646330373182499e-01	4.854424904297665599e-01
6.250000000000000000e-01	1.512732964651904502e-02	8.447756743146023206e-02	1.503914507533957445e-01	1.048571149131906632e-01	2.943473725933806739e-01	4.866886232531131284e-01
6.750000000000000444e-01	5.156623747659367513e-03	5.921988684573343403e-02	1.159062546384170417e-01	1.042799740278299303e-01	3.208153896201109134e-01	5.483010551255478315e-01
7.250000000000000888e-01	1.664387323882652713e-03	4.196709602707181241e-02	8.838369725031637592e-02	1.349074934480395116e-01	3.949494461873274131e-01	6.641472084188210223e-01
7.750000000000000222e-01	5.378517934479128387e-04	3.011882933098282769e-02	6.718908297397430118e-02	2.188091635590386497e-01	5.211329842733752882e-01	8.064556448893686058e-01
8.250000000000000666e-01	1.790304262149254393e-04	2.187962425705305275e-02	5.057864297098486200e-02	3.773273077876196369e-01	6.964794358486656733e-01	9.872768091319790162e-01
8.750000000000000000e-01	5.745589761043064968e-05	1.606598258758229134e-02	3.743463319967708924e-02	5.992820210375321421e-01	8.998380621024166803e-01	1.195585010754092847e+00
9.250000000000000444e-01	1.920865623829589515e-05	1.190266075319710258e-02	2.790211451518336688e-02	7.827237223891057027e-01	1.085611593084454318e+00	1.403634514329058280e+00
9.750000000000000888e-01	7.045729879048785510e-06	8.878304946360155228e-03	2.051173618671039284e-02	8.680287070493793999e-01	1.194350184880828003e+00	1.534475992776126008e+00
1.024999999999999911e+00	2.845471626778617564e-06	6.653016995753896316e-03	1.498181789905272260e-02	8.597845955853971045e-01	1.181498254881274024e+00	1.515926980011385483e+00
1.075000000000000178e+00	1.126112237911311027e-06	4.999031490177512430e-03	1.075647094374918011e-02	7.602892768035850457e-01	1.045345194049181359e+00	1.344173344598162734e+00
1.125000000000000000e+00	5.015304502634146564e-07	3.760668037672813650e-03	7.763104176033175721e-03	5.957964860024879128e-01	8.293888036140715236e-01	1.076326234590969433e+00
1.175000000000000266e+00	1.995179893390768312e-07	2.827021547162841819e-03	5.433326675868680941e-03	3.992391289195580395e-01	5.960019733998614955e-01	7.964247095248051522e-01
1.225000000000000089e+00	7.792907639501587325e-08	2.117146098919493128e-03	3.734085695044052095e-03	2.105139411310961994e-01	3.942288172216886211e-01	5.613373258241052266e-01
1.274999999999999911e+00	3.354845778044541795e-08	1.575116673723564020e-03	2.476847738445453126e-03	9.021662113446510256e-02	2.449351657389055303e-01	3.889285976722401394e-01
1.325000000000000178e+00	1.383641947951417929e-08	1.164797529016345888e-03	1.621805115604760608e-03	3.277600555819473044e-02	1.459625803394614674e-01	2.607624597464069383e-01
1.375000000000000000e+00	5.217413704925738144e-09	8.597985098941137447e-04	1.043880860468324482e-03	1.009804410654879976e-02	8.493546841202069542e-02	1.677568071321603460e-01
1.425000000000000266e+00	1.884042202452787714e-09	6.362906951587729608e-04	6.606664321832354542e-04	2.663378057261071852e-03	4.887225805116313798e-02	1.030310058863957712e-01
1.475000000000000089e+00	5.851801576267280695e-10	4.729407892147459999e-04	4.026610835458291761e-04	5.857733638698586591e-04	2.801289244556064151e-02	6.111902194527612381e-02
1.524999999999999911e+00	1.379598339859186222e-10	3.529604080747591869e-04	2.485487817700601115e-04	1.161101755492099051e-04	1.605426998274608538e-02	3.378433151764086151e-02
1.575000000000000178e+00	3.454400064675175079e-11	2.642833369797534314e-04	1.437411099663332855e-04	1.923520534195648303e-05	9.216166106196650026e-03	1.814104930965958207e-02
1.625000000000000000e+00	6.282858205595079067e-12	1.984120934484285713e-04	8.430795915716493831e-05	2.974837426244316392e-06	5.305572835413523668e-03	9.506581271629739593e-03
1.675000000000000266e+00	9.128675113238114747e-13	1.492803253647204164e-04	4.855943344860533023e-05	3.786834990578345498e-07	3.066476789358481628e-03	4.855396838923301157e-03
1.725000000000000089e+00	1.142742953593850529e-13	1.125035393510783832e-04	2.772831163357275720e-05	4.458477344658541162e-08	1.782096436382014882e-03	2.473658794648369349e-03
1.774999999999999911e+00	1.398743247690443460e-14	8.489445145882854981e-05	1.568174541529478126e-05	4.743202782172970688e-09	1.043426786372319334e-03	1.249515013543129379e-03
1.825000000000000178e+00	1.425647256937920733e-15	6.412209849633980778e-05	8.658119779941630454e-06	4.098586851597243409e-10	6.169501519982819151e-04	6.266499445044950789e-04
1.875000000000000000e+00	1.307992205355239130e-16	4.846819724734470285e-05	4.642915810594261813e-06	3.445976281469664898e-11	3.693145149540798472e-04	3.097708853808208069e-04
1.925000000000000266e+00	9.004710873413452247e-18	3.665681339706200839e-05	2.457568575183368255e-06	2.620583225066104546e-12	2.243793145497913525e-04	1.522889839247055621e-04
1.975000000000000089e+00	4.875367467796266124e-19	2.773564985918583031e-05	1.291307012974690819e-06	1.688077696763968618e-13	1.386660639008316647e-04	7.330942909951567072e-05
2.025000000000000355e+00	2.415534479745895395e-20	2.099170415935201891e-05	6.956008583226888452e-07	9.820831578038986048e-15	8.731971481458295425e-05	3.409739690792424059e-05
2.075000000000000178e+00	9.888306567332911702e-22	1.589000497392367296e-05	3.387077881235198665e-07	4.775466897179193579e-16	5.609143167148073514e-05	1.568071605952827029e-05
2.125000000000000000e+00	4.933891816750132304e-23	1.202847693375444990e-05	1.663705566010691431e-07	2.022886637630782153e-17	3.677167619511582833e-05	7.392355964914838437e-06
2.174999999999999822e+00	2.062959057420842902e-24	9.104454178667446124e-06	8.226644282724958506e-08	8.202768472481516539e-19	2.459541865066535763e-05	3.230013355576698409e-06
2.225000000000000089e+00	6.692367878182762112e-26	6.889758326883613233e-06	4.032086817600818406e-08	2.911241527810723784e-20	1.676999660142435610e-05	1.452707696603175388e-06
2.275000000000000355e+00	2.191014015451025972e-27	5.212124862668981768e-06	1.888426199691103928e-08	9.271376525566768477e-22	1.163939761346674016e-05	6.497634069842198162e-07
2.325000000000000178e+00	6.062470399039739430e-29	3.941341841862875337e-06	8.837624226359589658e-09	2.530094934337611132e-23	8.208327658259911209e-06	2.739876320277554365e-07
2.375000000000000000e+00	1.242560512510864427e-30	2.978882292623824631e-06	3.993821674876670559e-09	6.701679484518580939e-25	5.869611428246779708e-06	1.114618214189112696e-07
2.425000000000000266e+00	2.356798587353449314e-32	2.250129820195294485e-06	1.805478516486265672e-09	1.693015415041022507e-26	4.246805291629499183e-06	4.723094136521669696e-08
2.475000000000000089e+00	4.245372535433239538e-34	1.698536695936561302e-06	7.611860511000162290e-10	3.198536148784532321e-28	3.102445513216379615e-06	1.922191672877104231e-08
