nCount_RNA	group	1_0.5_0.5_0.5_0.5_0.5_x	1_0.5_0.5_0.5_0.5_0.5_y	1_0.5_0.5_0.5_0.5_0.5_x_expression	1_0.5_0.5_0.5_0.5_0.5_y_expression
20036	group3	0	2	0.1449531193874979	0.555762191138077
20682	group2	1	0	0.6827058567375566	0.031127240935376166
36511	group3	0	0	0.21507640410061124	0.12446462782168888
12534	group3	0	0	0.5872280451840375	0.8777870972822142
18220	group3	0	0	0.2686023975282653	0.41566864585602825
7350	group2	0	0	0.3510145618409025	0.624371055147126
13052	group3	1	1	0.8596214610304224	0.778166487033896
16425	group1	1	2	0.5590522330593202	0.858475339376634
13753	group3	1	1	0.5559140106557858	0.4096856351732415
14036	group2	1	2	0.9028743560722443	0.7742782357628091
12190	group3	1	0	0.5653750587393005	0.42757360608961525
12761	group3	0	3	0.28935808072972546	1.0554113137587509
25426	group2	14	4	2.146221101777779	1.2017144787939427
23016	group3	6	0	0.6812261386902496	0.4701309329020729
15267	group3	0	1	0.3531593856571329	0.4618203511684147
15680	group3	0	4	0.2944955120351333	1.0649762197011452
9677	group1	1	2	0.15281486251100967	1.174200666257175
17116	group3	0	3	0.054203545198779346	0.3857352313869101
16540	group2	6	1	1.1345900805081177	0.31055249508029137
13464	group3	3	0	0.4002321166770346	0.45473916058780833
18591	group2	4	2	1.2022656946265489	0.8606523637362682
15630	group3	1	0	0.7673837341781387	0.29500792264775005
35148	group3	0	0	0.5186813874271865	0.5664229011619137
17782	group2	1	1	0.6111636219210058	0.3580177927638484
9322	group3	0	0	0.020107804622143566	0.4656912817633077
19299	group3	1	0	0.5656261655896713	0.1565110518945178
17503	group3	1	0	0.3085452723692167	0.05782526313569042
10534	group3	0	0	0.4058279708534944	0.28806528552062816
22958	group2	0	0	0.10903994923525578	0.09900822192751546
16941	group1	2	2	1.1191989989803277	0.9622492629969039
19740	group2	1	2	0.4083751912994943	0.5447708608817212
11104	group1	6	0	1.2021431955384434	0.6484566719558471
14576	group3	0	0	0.5302647663959397	0.2968899579560386
14945	group3	1	3	0.20814319813432053	0.5879029593735101
18929	group3	6	4	1.150348843219976	1.277542901478785
8625	group3	0	0	0.057853272148726265	0.8608976033864577
16419	group3	1	7	0.6630320566264156	1.039153970216212
17991	group2	1	2	0.16628367153715257	0.6142252069259326
15892	group3	3	2	1.0199373557754983	0.27902821891439267
15400	group3	3	0	0.659093096717656	0.4361790202120399
25607	group1	0	1	0.1158667248794894	0.21268314906806624
25613	group3	7	5	1.5049692025413748	0.907387662489775
14739	group3	2	1	0.912421487814503	0.35708660951347737
9456	group3	3	2	0.7774957088824236	0.7769713105987832
28030	group3	0	2	0.1899599076258362	0.4241620755494751
15022	group3	1	1	0.05645459234316308	0.18469740595394396
12584	group3	0	1	0.605773891469662	0.47634985907573923
